IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
101.32.12.79,443,TRUE,HKG,亚太,香港,53 ms,20057 kB/s
124.156.238.155,443,TRUE,KIX,亚太,大阪,72 ms,10759 kB/s
43.160.196.64,39738,TRUE,SIN,亚太,新加坡,87 ms,21335 kB/s
43.133.233.172,10000,TRUE,ICN,亚太,韩国首尔,84 ms,20570 kB/s
43.161.239.49,10001,TRUE,HKG,亚太,香港,55 ms,18913 kB/s
101.32.72.125,443,TRUE,HKG,亚太,香港,47 ms,18441 kB/s
43.161.224.70,443,TRUE,HKG,亚太,香港,53 ms,15534 kB/s
43.165.183.43,443,TRUE,KIX,亚太,大阪,72 ms,13060 kB/s
43.156.116.194,443,TRUE,SIN,亚太,新加坡,112 ms,8368 kB/s
129.226.150.167,443,TRUE,SIN,亚太,新加坡,79 ms,8253 kB/s
43.165.191.25,16837,TRUE,NRT,亚太,日本东京,73 ms,23864 kB/s
43.165.190.101,25891,TRUE,NRT,亚太,日本东京,72 ms,23634 kB/s
43.153.201.129,666,TRUE,SIN,亚太,新加坡,78 ms,11638 kB/s
43.161.225.160,7417,TRUE,HKG,亚太,香港,46 ms,10566 kB/s
43.129.205.163,6666,TRUE,HKG,亚太,香港,44 ms,4034 kB/s
101.32.41.166,20000,TRUE,HKG,亚太,香港,46 ms,3984 kB/s
150.109.236.191,25565,TRUE,ICN,亚太,韩国首尔,84 ms,3849 kB/s
101.32.41.135,36306,TRUE,HKG,亚太,香港,46 ms,3838 kB/s
129.226.146.183,51220,TRUE,SIN,亚太,新加坡,228 ms,3802 kB/s
43.135.67.196,14387,TRUE,HKG,亚太,香港,46 ms,3736 kB/s
43.154.150.180,53104,TRUE,HKG,亚太,香港,46 ms,3713 kB/s
43.163.68.220,452,TRUE,SIN,亚太,新加坡,83 ms,3570 kB/s
43.167.237.199,20069,TRUE,NRT,亚太,日本东京,76 ms,3551 kB/s
43.156.36.246,6601,TRUE,SIN,亚太,新加坡,78 ms,3550 kB/s
43.133.234.27,10299,TRUE,ICN,亚太,韩国首尔,80 ms,3505 kB/s
43.163.6.142,30316,TRUE,SIN,亚太,新加坡,78 ms,3491 kB/s
43.153.204.145,51050,TRUE,SIN,亚太,新加坡,234 ms,3363 kB/s
43.130.35.177,6161,TRUE,SJC,北美洲,美国圣何塞,210 ms,3063 kB/s
43.153.84.176,520,TRUE,SJC,北美洲,美国圣何塞,195 ms,3006 kB/s
43.135.165.80,30023,TRUE,SJC,北美洲,美国圣何塞,204 ms,2974 kB/s
43.153.103.163,8980,TRUE,SJC,北美洲,美国圣何塞,181 ms,2882 kB/s
43.153.84.176,1122,TRUE,SJC,北美洲,美国圣何塞,204 ms,2719 kB/s
43.130.234.15,25629,TRUE,NRT,亚太,日本东京,71 ms,2558 kB/s
43.133.190.240,24504,TRUE,NRT,亚太,日本东京,71 ms,2539 kB/s
43.130.253.21,51351,TRUE,NRT,亚太,日本东京,80 ms,2515 kB/s
43.153.84.105,12304,TRUE,SJC,北美洲,美国圣何塞,192 ms,2506 kB/s
43.155.186.100,446,TRUE,ICN,亚太,韩国首尔,104 ms,2470 kB/s
43.156.25.177,28443,TRUE,SIN,亚太,新加坡,80 ms,2355 kB/s
43.134.62.172,28443,TRUE,SIN,亚太,新加坡,227 ms,2334 kB/s
43.163.214.190,58352,TRUE,NRT,亚太,日本东京,73 ms,2330 kB/s
43.134.105.148,14888,TRUE,SIN,亚太,新加坡,94 ms,2321 kB/s
43.156.67.197,28443,TRUE,SIN,亚太,新加坡,204 ms,2256 kB/s
43.134.8.58,28443,TRUE,SIN,亚太,新加坡,73 ms,2073 kB/s
101.32.209.46,2443,TRUE,HKG,亚太,香港,47 ms,1653 kB/s
49.51.229.178,16097,TRUE,SJC,北美洲,美国圣何塞,216 ms,1624 kB/s
162.62.120.236,20443,TRUE,FRA,欧洲,德国法兰克福,316 ms,1539 kB/s
101.33.127.53,50283,TRUE,HKG,亚太,香港,46 ms,177 kB/s
43.161.227.251,60006,TRUE,HKG,亚太,香港,47 ms,137 kB/s
43.135.30.215,5700,TRUE,HKG,亚太,香港,45 ms,131 kB/s
43.161.239.49,10002,TRUE,HKG,亚太,香港,47 ms,129 kB/s
101.32.209.46,4443,TRUE,HKG,亚太,香港,40 ms,102 kB/s
43.161.227.251,60007,TRUE,HKG,亚太,香港,46 ms,59 kB/s
43.153.61.80,40874,TRUE,SJC,北美洲,美国圣何塞,205 ms,43 kB/s
43.135.186.142,8899,TRUE,SJC,北美洲,美国圣何塞,189 ms,15 kB/s
101.32.168.155,28443,TRUE,SIN,亚太,新加坡,77 ms,0 kB/s
150.109.11.223,443,TRUE,SIN,亚太,新加坡,78 ms,4647 kB/s
101.32.102.197,39738,TRUE,NRT,亚太,日本东京,64 ms,3694 kB/s
101.32.116.73,443,TRUE,SIN,亚太,新加坡,192 ms,3439 kB/s
43.133.70.168,8443,TRUE,ICN,亚太,韩国首尔,83 ms,3347 kB/s
43.134.99.72,443,TRUE,SIN,亚太,新加坡,216 ms,3121 kB/s
101.33.77.228,443,TRUE,ICN,亚太,韩国首尔,107 ms,2794 kB/s
43.153.56.50,39738,TRUE,SJC,北美洲,美国圣何塞,173 ms,2741 kB/s
43.153.78.145,443,TRUE,SJC,北美洲,美国圣何塞,213 ms,2726 kB/s
43.133.23.145,39738,TRUE,NRT,亚太,日本东京,81 ms,2553 kB/s
43.134.87.15,443,TRUE,SIN,亚太,新加坡,75 ms,2475 kB/s
43.153.155.49,443,TRUE,KIX,亚太,大阪,76 ms,2474 kB/s
43.156.178.203,39738,TRUE,SIN,亚太,新加坡,213 ms,2461 kB/s
101.32.179.58,443,TRUE,HKG,亚太,香港,48 ms,2293 kB/s
43.128.144.226,39738,TRUE,ICN,亚太,韩国首尔,79 ms,2178 kB/s
150.109.21.202,39738,TRUE,SIN,亚太,新加坡,78 ms,2113 kB/s
43.134.37.10,39738,TRUE,SIN,亚太,新加坡,77 ms,2109 kB/s
43.155.117.16,443,TRUE,HKG,亚太,香港,47 ms,2062 kB/s
43.153.1.183,39738,TRUE,SJC,北美洲,美国圣何塞,199 ms,1995 kB/s
43.135.186.188,39738,TRUE,SJC,北美洲,美国圣何塞,175 ms,1939 kB/s
119.28.162.78,39738,TRUE,ICN,亚太,韩国首尔,69 ms,1752 kB/s
101.33.75.233,39738,TRUE,ICN,亚太,韩国首尔,82 ms,1609 kB/s
43.153.60.244,39738,TRUE,SJC,北美洲,美国圣何塞,205 ms,1266 kB/s
43.153.105.7,443,TRUE,SJC,北美洲,美国圣何塞,181 ms,1215 kB/s
43.128.109.135,39738,TRUE,SIN,亚太,新加坡,94 ms,1156 kB/s
43.153.0.181,39738,TRUE,SJC,北美洲,美国圣何塞,167 ms,1010 kB/s
43.153.179.6,443,TRUE,KIX,亚太,大阪,71 ms,1007 kB/s
49.51.232.71,443,TRUE,SJC,北美洲,美国圣何塞,196 ms,797 kB/s
43.130.230.191,39738,TRUE,NRT,亚太,日本东京,72 ms,778 kB/s
43.133.110.81,443,TRUE,BKK,亚太,曼谷,95 ms,494 kB/s
49.51.48.205,39738,TRUE,SJC,北美洲,美国圣何塞,207 ms,485 kB/s
101.32.189.207,39738,TRUE,HKG,亚太,香港,47 ms,358 kB/s
49.51.197.141,443,TRUE,SJC,北美洲,美国圣何塞,195 ms,288 kB/s
43.130.52.59,39738,TRUE,SJC,北美洲,美国圣何塞,218 ms,209 kB/s
43.155.239.203,39738,TRUE,ICN,亚太,韩国首尔,74 ms,184 kB/s
101.32.190.156,443,TRUE,HKG,亚太,香港,147 ms,131 kB/s
43.153.158.227,443,TRUE,KIX,亚太,大阪,68 ms,3 kB/s
